year,state,rate,value
1994,Idaho,6.484848485,"51,748"
1994,Illinois,5.968300654,"57,565"
1994,Indiana,5.279076087,"45,712"
1994,Iowa,3.767760943,"54,280"
1994,Kansas,4.205079365,"46,474"
1994,Kentucky,6.515277778,"43,640"
1994,Louisiana,8.303125,"42,132"
1994,Maine,7.694791667,"49,746"
1994,Maryland,6.230902778,"64,320"
1994,Massachusetts,6.20952381,"66,457"
1994,Michigan,8.511345382,"57,898"
1994,Minnesota,5.436590038,"55,207"
1994,Mississippi,7.610670732,"41,679"
1994,Missouri,6.005942029,"49,539"
1994,Montana,5.26875,"45,340"
1994,Nebraska,2.626433692,"52,171"
1994,Nevada,8.014705882,"58,861"
1994,New Hampshire,4.489166667,"57,834"
1994,New Jersey,7.006746032,"69,378"
1994,New Mexico,8.019444444,"44,149"
1994,New York,6.831048387,"52,343"
1994,North Carolina,5.473083333,"49,414"
1994,North Dakota,3.94418239,"46,402"
1994,Ohio,6.427746212,"52,271"
1994,Oklahoma,6.043073593,"44,290"
1994,Oregon,6.890046296,"51,616"
1994,Pennsylvania,7.05920398,"52,617"
1994,Rhode Island,6.521666667,"52,391"
1994,South Carolina,7.927898551,"48,975"
1994,South Dakota,4.240656566,"48,789"
1994,Tennessee,6.183070175,"46,994"
1994,Texas,6.448031496,"50,466"
1994,Utah,5.849137931,"58,607"
1994,Vermont,5.326785714,"58,748"
1994,Virginia,6.043922306,"61,775"
1994,Washington,8.823717949,"55,025"
1994,West Virginia,10.38257576,"38,666"
1994,Wisconsin,5.578819444,"58,068"
1994,Wyoming,4.858695652,"54,380"
1995,Alabama,7.607089552,"41,646"
1995,Arizona,10.65111111,"49,452"
1995,Arkansas,5.672,"41,362"
1995,California,10.60933908,"59,300"
1995,Colorado,4.819921875,"65,224"
1995,Connecticut,5.430208333,"64,482"
1995,Delaware,4.463888889,"55,965"
1995,Hawaii,8.408333333,"68,661"
1995,Idaho,6.370075758,"52,357"
1995,Illinois,5.320343137,"61,001"
1995,Indiana,5.019293478,"53,493"
1995,Iowa,3.770959596,"56,912"
1995,Kansas,3.958492063,"48,616"
1995,Kentucky,6.683402778,"47,765"
1995,Maine,6.692708333,"54,251"
1995,Maryland,6.054513889,"65,760"
1995,Massachusetts,5.405357143,"61,807"
1995,Michigan,7.76124498,"58,366"
1995,Minnesota,5.15862069,"60,780"
1995,Mississippi,7.606808943,"42,522"
1995,Missouri,5.674710145,"55,800"
1995,Montana,5.822470238,"44,475"
1995,Nebraska,2.780107527,"52,762"
1995,Nevada,6.840686275,"57,818"
1995,New Hampshire,3.864166667,"62,764"
1995,New Jersey,6.58452381,"70,380"
1995,New Mexico,8.301010101,"41,646"
1995,New York,6.313844086,"52,921"
1995,North Carolina,5.494166667,"51,240"
1995,North Dakota,3.532389937,"46,610"
1995,Ohio,5.860700758,"55,986"
1995,Oklahoma,5.199458874,"42,158"
1995,Oregon,6.550231481,"58,282"
1995,Pennsylvania,6.58221393,"55,318"
1995,Rhode Island,5.816666667,"56,656"
1995,South Carolina,6.837862319,"46,581"
1995,South Dakota,3.976767677,"47,393"
1995,Tennessee,6.766491228,"46,491"
1995,Texas,5.954396325,"51,336"
1995,Utah,5.596551724,"58,452"
1995,Vermont,5.079166667,"54,196"
1995,Virginia,5.739348371,"58,039"
1995,Washington,8.533119658,"56,991"
1995,West Virginia,9.678787879,"39,865"
1995,Wisconsin,4.796875,"65,623"
1995,Wyoming,4.760869565,"50,519"
1996,Alabama,7.235199005,"47,294"
1996,Arizona,11.64777778,"49,377"
1996,Arkansas,6.428111111,"42,332"
1996,California,9.926436782,"60,576"
1996,Colorado,5.227734375,"63,912"
1996,Connecticut,5.460416667,"65,737"
1996,Delaware,4.966666667,"61,351"
1996,Hawaii,8.552083333,"65,195"
1996,Idaho,6.406818182,"54,172"
1996,Illinois,5.756617647,"61,734"
1996,Indiana,4.566757246,"54,855"
1996,Iowa,3.806228956,"51,831"
1996,Kansas,3.924365079,"50,857"
1996,Kentucky,6.834166667,"50,588"
1996,Louisiana,7.34375,"47,231"
1996,Maine,5.9578125,"54,152"
1996,Maryland,6.265972222,"68,662"
1996,Massachusetts,4.635119048,"61,640"
1996,Michigan,6.846184739,"61,220"
1996,Minnesota,5.553927203,"63,976"
1996,Mississippi,7.653760163,"41,636"
1996,Missouri,5.850724638,"53,479"
